nombre,muni_id,cod_dane,id_sede,jornada
PAYANDE SAL,,250330000437,539669,T
PAYANDE SAL,,250330000437,539671,C
INST EDUC NUEVO HORIZONTE,,250350000841,539743,T
INST EDUC NUEVO HORIZONTE,,250350000841,539745,C
ESC. ALTO JARDIN,,250350000841,539746,T
ESC. ALTO JARDIN,,250350000841,539748,C
SEDE SAN AGUSTIN,,119001000044,539811,T
SEDE SAN AGUSTIN,,119001000044,539813,C
SEDE EL LIBERTADOR,,119001000044,539816,T
SEDE EL LIBERTADOR,,119001000044,539818,C
CENTRO EDUCATIVO DISTRITAL,,147001007140,539875,C
CENT EDUC DIST VISTA BELLA,,111769003114,539932,C
CENT EDUC DIST SAN CIPRIANO,,111769003114,539934,C
CENT EDUC DIST GRANADA NORT,,111769003114,539936,C
SEDE 07 GERARDO CORDOBA,,247001002924,539954,T
SEDE 07 GERARDO CORDOBA,,247001002924,539956,C
INSTITUCION EDUCATIVA DISTR,,147001007140,539967,C
SEDE 3 CASA DE TABLA,,247001002924,539994,T
SEDE 3 CASA DE TABLA,,247001002924,539996,C
CENTRO EDUCATIVO DISTRITAL,,247001001405,540059,C
ESCUELA URBANA MIXTA MAMATO,,247001001405,540060,T
ESCUELA URBANA MIXTA MAMATO,,247001001405,540062,C
ESC. CAÑO AZUL,,250350000841,540063,T
ESC. CAÑO AZUL,,250350000841,540065,C
ESC. CAÑO MONO,,250350000841,540066,T
ESC. CAÑO MONO,,250350000841,540068,C
ESC. EL LIMONAR,,250350000841,540069,T
ESC. EL LIMONAR,,250350000841,540071,C
ESC. EL PORVENIR,,250350000841,540072,T
ESC. EL PORVENIR,,250350000841,540074,C
ESC. LA BATALLA,,250350000841,540075,T
ESC. LA BATALLA,,250350000841,540077,C
ESC. LA LAGUNA DOS,,250350000841,540078,T
ESC. LA LAGUNA DOS,,250350000841,540080,C
ESC. LA SERRANIA,,250350000841,540081,T
ESC. LA SERRANIA,,250350000841,540083,C
ESC. LA SOMBRA,,250350000841,540084,T
ESC. LA SOMBRA,,250350000841,540086,C
ESC. LAS NIEVES,,250350000841,540087,T
ESC. LAS NIEVES,,250350000841,540089,C
ESC. LOS NARANJOS,,250350000841,540090,T
ESC. LOS NARANJOS,,250350000841,540092,C
ESC. LAS MALVINAS,,250350000841,540093,T
ESC. LAS MALVINAS,,250350000841,540095,C
ESC. PLAYA RICA,,250350000841,540096,T
ESC. PLAYA RICA,,250350000841,540098,C
ESC. POTRAS QUEBRADON,,250350000841,540099,T
ESC. POTRAS QUEBRADON,,250350000841,540101,C
ESC. PRIMAVERA DEL LOZADA,,250350000841,540102,T
ESC. PRIMAVERA DEL LOZADA,,250350000841,540104,C
CENTRO EDUCATIVO EL RUBI,,250350000859,540135,T
CENTRO EDUCATIVO EL RUBI,,250350000859,540137,C
ESC. AIRES DEL META,,250350000859,540138,T
ESC. AIRES DEL META,,250350000859,540140,C
ESC. EL DIVINO NIÑO,,250350000859,540141,T
ESC. EL DIVINO NIÑO,,250350000859,540143,C
ESC. EL TOPACIO,,250350000859,540144,T
ESC. EL TOPACIO,,250350000859,540146,C
ESC. JORDANIA,,250350000859,540147,T
ESC. JORDANIA,,250350000859,540149,C
ESC. LA DORADA,,250350000859,540150,T
ESC. LA DORADA,,250350000859,540152,C
ESC. RUBITORIA,,250350000859,540153,T
ESC. RUBITORIA,,250350000859,540155,C
ESC. VERSALLES,,250350000859,540156,T
ESC. VERSALLES,,250350000859,540158,C
ESC. VILLANUEVA,,250350000859,540159,T
ESC. VILLANUEVA,,250350000859,540161,C
ESC. LA ESPERANZA,,250350000859,540175,T
ESC. LA ESPERANZA,,250350000859,540177,C
ESC. VEGAS DEL GUAYABERO,,250350000859,540180,T
ESC. VEGAS DEL GUAYABERO,,250350000859,540182,C
CENTRO EDUCATIVO CATALINA,,250350000069,540183,T
CENTRO EDUCATIVO CATALINA,,250350000069,540185,C
ESC. ALTO YARUMALES,,250350000069,540186,T
ESC. ALTO YARUMALES,,250350000069,540188,C
ESC. EL CARMEN,,250350000069,540189,T
ESC. EL CARMEN,,250350000069,540191,C
ESC. BRASILIA,,250350000841,540192,T
ESC. BRASILIA,,250350000841,540194,C
INSTITUCION EDUCATIVO DISTR,,247001001472,540221,T
INSTITUCION EDUCATIVO DISTR,,247001001472,540223,C
SEDE 03 LA ESTRELLA,,247001001472,540226,T
SEDE 03 LA ESTRELLA,,247001001472,540228,C
SEDE 07 MEXICO,,247001001472,540229,T
SEDE 07 MEXICO,,247001001472,540231,C
SEDE 09 JOSE MARIA CORDOBA,,247001001472,540232,T
SEDE 09 JOSE MARIA CORDOBA,,247001001472,540234,C
