nombre,muni_id,cod_dane,id_sede,jornada
I. E.  BALTAZAR SALAZAR,5615,205615000397,230162,C
C. E. R. LA TRINIDAD,5197,205197000202,230167,C
C. E. R. JOSEFINA GOMEZ DE,5206,105206000186,230168,C
C. E. R. GABRIEL GOMEZ,5313,205313000371,230173,C
C. E. R. LA CEJA,5628,205628000043,230175,C
C. E. R. MORRITOS,5642,205642000242,230177,C
C. E. R. PORFIRIO BARBA JAC,5642,205642000242,230178,C
C. E. R. SAN COSME,5313,205313000371,230183,C
C. E. R. EMILIANO LONDOÑO,5315,105315000021,230185,C
C. E. R. LA GULUNGA,5642,205642000293,230187,C
C. E. R. EPIFANIO MEJIA,5642,205642000242,230188,C
,5686,205686000291,230189,
,5234,205234000951,230192,
C. E. R. SAN JUAN ABAJO,5315,205315000069,230193,C
C. E. R. CAÑAVERAL,5649,205649000426,230195,C
I. E.  RURAL PUERTO GARZA,5649,205649000426,230196,C
C. E. R. PUERTO VELO,5649,205649000426,230197,C
C. E. R. OROBAJO ARRIBA,5686,205686000801,230198,C
C. E. R. LA CHORRERA,5686,205686000924,230199,C
C. E. R. LOS NARANJOS,5321,105321000025,230202,C
,5361,205361000073,230205,
,5361,205361000103,230206,
C. E. R. POCITOS,5652,205197000849,230210,C
C. E. R. JARDIN DE AQUITANI,5652,205197000849,230211,C
C. E. R. EL SALTO,5756,105756000311,230212,C
C. E. R. QUIRIMARA,5240,205240000793,230218,M
,5361,205361000219,230221,
,5361,205361000481,230222,
,5361,205361000561,230223,
,5250,205250000350,230229,
,5361,205361001461,230232,
,5361,205361001533,230233,
C. E. R. PALESTINA,5660,105660000271,230234,C
C. E. R. LA CUMBRE,5660,205660000977,230235,C
,5660,205660001043,230236,
C. E. R. EL ESPINAL,5664,205664000173,230237,C
C. E. R. ALTO DE MEDINA,5664,205664000173,230239,C
C. E. R. EL SALTO,5697,205697000136,230241,C
C. E. R. EL MOLINO,5282,205282000513,230245,C
C. E. R. EL CHIMBORAZO,5665,205665000169,230247,C
C. E. R. MORROA,5665,205665000789,230248,C
C. E. R. EL TABOR,5789,205789000248,230252,C
C. E. R. TERESITA OBANDO,5789,205789000591,230253,C
C. E. R. LA UNION,5665,205665000215,230258,C
C.E.R. EL RAYO - SEDE PRINC,5665,205665000487,230259,C
C.E.R. EL CEDRO - SEDE PRIN,5665,205665001301,230260,C
C.E.R. LOS CERROS DE PELAYI,5665,205665000517,230262,C
C. E. R. EL PLAN,5055,105055000022,230268,C
C. E. R. LA FLORESTA,5670,105670000938,230273,C
C. E. R. SAN JOAQUIN,5670,205670000452,230274,C
,5736,205736000556,230275,
C. E. R. BEATO FRAY MELQUIA,5756,105756000311,230277,C
C. E. R. LAS VICTORIAS,5079,205079000206,230279,C
C. E. R. EL PARAISO,5138,205138000622,230285,C
C. E. R. BUENOS AIRES,5142,205142000271,230287,M
C.E.R EL YUYAL,5086,205086000068,230288,C
I. E. R. LA LIBIA ABAJO,5091,205091000122,230289,C
C. E. R. GABRIEL DUQUE GOME,5440,105440000408,230291,M
C. E. R. PALMICHAL,5145,105145000145,230292,C
C. E. R. JORGE LOPEZ TANGAR,5145,105145000145,230293,C
C. E. R. BOCAS DE CHIGORODO,5147,205147000465,230296,C
C. E. R. BOQUERON,5148,105148000863,230299,C
C. E. R. LA SONADORA,5148,205148000582,230300,C
C. E. R. ALTO GRANDE,5148,105148000243,230301,C
C. E. R. REQUINTADERO,5483,205483000031,230305,C
C. E. R. CRISTALINA,5579,205579000504,230308,C
,5172,205172007512,230313,
,5172,205172007555,230314,
,5107,205107000730,230315,
C. E. R. LLANOS DE URARCO,5113,205113000130,230319,C
C. E. R. HIGABRA,5113,105113000071,230320,C
C. E. R. GUADUALITO,5483,205483000236,230321,C
C. E. R. AGUACATAL,5483,205483000236,230322,C
C. E. R. EL LIMON,5483,205483000066,230323,C
C. E. R. SANTA MARTINA,5579,205579000075,230324,C
C. E. R. LA MIRANDA,5585,205387000047,230325,C
C. E. R. SANTIAGO BERRIO,5591,205591000056,230326,C
C. E. R. EL PEDRERO,5190,205190000126,230327,C
C. E. R. SABANALARGA,5190,205190000126,230328,C
C. E. R. EL  HIGUERON,5197,205197000687,230329,C
C. E. R. LAS AGUADAS,5652,205197001047,230330,C
C. E. R. LA ANACOZCA,5125,205125000062,230332,C
C. E. R. CARLOS FRANCO,5490,205490001400,230334,M
C. E. R. FARALLONES,5652,205197001047,230345,C
C. E. R. ELKIN RESTREPO SER,5125,205125000127,230346,C
C. E. R. CAÑAVERAL,5134,105134000046,230348,C
C. E. R. EL CARDAL,5134,105134000046,230349,C
MADRO¥AL,73067,273067001482,230400,M
LAS PERLAS,73067,273067001482,230401,M
MARRUECOS,66572,266572000061,230467,C
LA LOMA,66572,266572000061,230468,C
ALTO HUMACAS,66572,266572000061,230469,C
EL ENCANTO,66572,266572000061,230471,C
SANTA LUCIA,73504,273504000270,230506,M
BALSILLAS,73504,273504000270,230507,M
GUAIPA,73504,273504000270,230508,M
SANTA MARIA,66594,266594001109,230520,C
LA MANGA,73624,273624000389,230563,M
MONTENEGRO,73624,273624000389,230564,M
INSTITUCION EDUCATIVA  LOS,68147,268147000114,230604,C
ESCUELA RURAL EL MULATAL,68179,168179000138,230614,C
ESC RUR MIX LOS ANGELES,86568,286568004893,230615,M
SAGRADO CORAZON DE JESUS,76109,276109000341,230655,M
ALTO BONITO,76113,276113000011,230719,M
VIRGEN DEL CARMEN,76113,276113000011,230720,M
SEDE MARIA AUXILIADORA,54313,254313000186,230753,C
ESCUELA RURAL ALTOS DE LLAN,68307,268307000035,230763,M
SEDE GUARUMAL,54398,254398000121,230796,M
SEDE ARATOQUE,54398,254398000121,230797,M
SEDE ALGARROBOS,54398,254398000368,230798,C
SEDE LISCAS PARTE BAJA,54498,254498000144,230805,M
ESCUELA SAN FRANCISCO,68547,268547000181,230829,T
HELIODORO AGUADO,76377,276377000388,230837,M
JULIA SAAVEDRA DE VILLAFAÑE,76520,276520002052,230838,T
SEDE SAN IGNACIO,54820,254820001003,230934,C
SEDE PATIOS CENTRO 2,54405,254874000568,230939,M
SEDE LA CORDIALIDAD,54405,254874000568,230940,M
CENT DE EDUC BAS AMPLIADA Y,47541,247541000475,231118,M
ERM FRANCISCO JOSE DE CALDA,47692,247692000281,231142,M
ESCUELA URBANA MIXTA MARIA,47703,247703000130,231143,M
ERM GABRIELA MISTRAL,47720,247720000461,231154,M
ESC MIX AGROP 16 DE JULIO,47980,247980002420,231164,M
,52678,252678000697,231263,
